"PER","N_ENT","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","P1","P2","P3_1","P3_2","P3_3","P3_4","P3_5","P3_6","P3_7","P3_8","P3_9","P3_10","P3_11","P4_1","P4_2","P4_3","P4_4","P4_5","P4_6","P4_7","P4_8","P4_9","P4_10","P5_1","P5_2","P5_3","P5_4","P5_5","P5_6","P5_7","P5_8","P5_9","P5_10","P5_11","P5_12","TIPO","FAC_MOD"
"1021","5","13B192","15","40277","4","1","0","01",7,7,7,5,6,6,8,8,9,7,7,6,8,7,4,7,6,0,2,5,3,0,8,8,8,8,8,0,10,7,9,8,8,6,7,1,29335
"1021","5","13B192","15","40277","1","1","0","03",4,2,4,8,10,7,5,10,7,9,10,5,5,6,4,8,8,4,3,6,2,2,6,2,9,2,3,9,10,4,9,0,0,5,5,1,22001
"1021","5","13B192","15","40277","3","1","0","02",7,6,7,8,10,10,10,10,10,10,10,10,8,8,8,0,10,0,0,0,10,0,0,9,10,9,9,8,8,0,10,9,0,0,0,1,14668
"1021","4","13A203","15","40283","4","1","0","02",10,10,10,10,10,9,10,10,10,10,10,10,5,10,7,10,10,6,0,2,0,0,4,8,10,8,10,10,9,2,9,10,8,6,5,1,33963
"1021","4","13A203","15","40283","1","1","0","01",9,9,9,9,9,7,9,9,9,9,9,9,0,9,5,6,8,9,0,5,4,0,0,8,8,8,8,8,5,5,9,10,10,7,5,1,33963
"1021","4","13A203","15","40283","2","1","0","03",9,9,9,10,10,10,10,10,10,10,8,9,3,10,7,7,10,9,0,3,3,0,0,10,10,10,10,10,10,0,10,10,8,6,0,1,45284
"1021","4","13A203","15","40283","3","1","0","04",9,9,10,10,10,10,10,10,10,10,10,10,3,10,8,8,9,10,0,1,1,1,0,10,10,10,9,9,9,5,9,10,8,6,6,1,56605
"1021","4","12A203","15","40293","2","1","0","01",8,8,10,9,10,8,8,9,9,8,8,8,0,10,10,8,10,10,0,0,0,0,0,8,10,8,10,8,10,8,10,9,10,10,10,1,19632
"1021","4","12A203","15","40293","3","1","0","01",8,8,9,9,9,9,10,10,10,10,10,10,0,10,10,5,10,10,0,0,5,0,0,8,8,9,9,9,8,2,8,8,9,2,2,1,13088
"1021","4","12A203","15","40293","4","1","0","05",8,9,6,10,10,9,8,9,10,10,5,10,10,7,3,2,6,4,2,5,7,4,1,8,8,10,8,10,3,8,9,10,10,8,7,1,32721
