"R_DEF_MOD","PER","N_ENT","FOL","ENT","CON","V_SEL","N_HOG","H_MUD","N_REN","NOM","C_RES","PAR","SEX","EDA","F_NAC","ALF","I_NIV","I_ANIO","A_ESC","E_CON","C_ACT","OCU","A_ECO","POS","I_PER","ING","TIPO","ELEGIDO","FACTOR","FAC_MOD"
"00","1021","3","11A204","02","40034","1","1","0","04","-","1","3","2","16","01/01/2005","1","04","1","1","6","01","5","5","3","1","999999",1,,7607,0
"00","1021","3","11A204","02","40034","1","1","0","01","-","1","1","2","46","05/09/1975","1","03","3","2","2","01","5","5","3","1","999999",1,,7607,0
"00","1021","3","11A204","02","40034","1","1","0","02","-","1","3","1","23","13/10/1997","1","04","3","2","1","01","5","5","1","1","999999",1,,7607,0
"14","1021","3","11A204","02","40034","4","1","0","01","-","1","1","1","54","08/05/1967","1","03","2","2","1","01","1","5","1","1","999999",1,,7607,0
"00","1021","3","11A204","02","40034","2","1","0","01","-","1","1","1","28","15/01/1993","1","07","4","2","5","01","1","5","3","1","999999",1,,7607,0
"00","1021","3","11A204","02","40034","2","1","0","03","-","1","3","1","01","01/02/2020",,,,,,,,,,,,1,,7607,0
"00","1021","3","11A204","02","40034","2","1","0","02","-","1","2","2","27","15/10/1993","1","04","3","2","5","07",,,,,,1,"1",7607,15329
"00","1021","3","11A204","02","40034","3","1","0","01","-","1","1","2","70","28/07/1951","1","03","1","2","6","07",,,,,,1,,7607,0
"00","1021","3","11A204","02","40034","3","1","0","03","-","1","3","2","24","23/12/1996","1","03","3","2","6","09",,,,,,1,,7607,0
"15","1021","3","13A204","02","40099","3","1","0","02","-","1","2","2","62","30/06/1959","1","08","2","1","5","01","2","5","3","2","999999",1,"1",18728,0
"15","1021","3","13A204","02","40099","3","1","0","03","-","1","3","1","15","30/06/2006","1","04","1","1","6","06",,,,,,1,,18728,0
"15","1021","3","13A204","02","40099","3","1","0","04","-","1","3","2","30","30/06/1991","1","07","5","1","6","01","2","7","3","1","999999",1,,18728,0
"15","1021","3","13A204","02","40099","3","1","0","01","-","2",,,,,,,,,,,,,,,,1,,0,0
"00","1021","3","13A204","02","40099","2","1","0","01","-","1","1","1","73","21/03/1948","1","07","5","2","5","01","1","5","2","1","999999",1,"1",18728,75578
"00","1021","3","13A204","02","40099","2","1","0","02","-","1","2","2","72","12/04/1949","1","04","3","2","5","07",,,,,,1,,18728,0
"00","1021","7","11A198","02","40107","1","1","0","02","-","1","3","1","31","18/09/1990","1","04","3","2","6","04",,,,,,1,,6463,0
